Number of Elements,Differance of Expected and Counted
2,3.0
7,3.9339012876799817
12,4.191691915971357
17,4.171906247712721
22,4.0078038640692775
27,3.752893244491257
32,3.718444375
37,3.555822058300114
42,3.4664930653782613
47,3.3997154030387424
52,3.394168323805443
57,3.3667238327608833
62,3.376035924461346
67,3.3831448177910013
72,3.3550628421369892
77,3.321122986400775
82,3.29638691186312
87,3.2360244974892867
92,3.203057412348159
97,3.1812830295940113
102,3.158829193367445
107,3.1333203505326273
112,3.117077079563569
117,3.077823389855122
122,3.0636651141922817
127,3.0444240423824684
132,3.0173898525809806
137,3.0056906015377516
142,2.982816221843982
147,2.960060631363501
152,2.944616249540678
157,2.919647383368308
162,2.90554597117882
167,2.8941512335493687
172,2.8795524144370463
177,2.8656347473073187
182,2.8597627622235176
187,2.8427825946068905
192,2.838241893916617
197,2.8285353678880893
202,2.8329313153046054
207,2.824175514685613
212,2.8228609416443304
217,2.820084986347355
222,2.8218456219718906
227,2.8212210508722664
232,2.8219098821806115
237,2.815088197981235
242,2.821670178966758
247,2.821848208124097
252,2.8187545458168706
257,2.8186636167176466
262,2.827028864027658
267,2.8203164219661603
272,2.827035400197925
277,2.8313780064716814
282,2.826646506798262
287,2.8300320676727737
292,2.829374506782677
297,2.819802497945755
302,2.819110926940782
307,2.810763046673588
312,2.814192021653557
317,2.810900521310232
322,2.8048145672918645
327,2.7976763015940067
332,2.7911301423258563
337,2.786242117727424
342,2.7754044838301337
347,2.76996201131377
352,2.7679041664148003
357,2.763976871668878
362,2.7601897913180604
367,2.7488881629354456
372,2.7408502282330947
377,2.7394086118584062
382,2.729604853698118
387,2.7276910209715934
392,2.7271738282095073
397,2.7210811622260898
402,2.7172043024075956
407,2.7068221313719363
412,2.7036177979488327
417,2.697565266378347
422,2.696934406492126
427,2.692534379163451
432,2.6826896736814017
437,2.6805856797230563
442,2.6731172206790084
447,2.666347674341574
452,2.666265933982309
457,2.6560235427606136
462,2.6518283491534578
467,2.648513625734907
472,2.645100012093374
477,2.632090982009587
482,2.6312387542718856
487,2.6305360167091054
492,2.621370315829469
497,2.6148601305874317
502,2.6106632313174267
507,2.6016898726234907
512,2.6008565755208335
517,2.594658757842378
522,2.588567861349769
527,2.5916455507319
532,2.579212469050765
537,2.5747997337634887
542,2.5670899718533753
547,2.5735340654316716
552,2.5644697577623523
557,2.56091204603155
562,2.5653234462293732
567,2.5559220602342108
572,2.5560878126641033
577,2.556101736810296
582,2.548287600872206
587,2.54306874835778
592,2.5410310467517627
597,2.5394146937944924
602,2.5298249778628037
607,2.533361276506801
612,2.5242954870241374
617,2.521428309340363
622,2.518464647574503
627,2.518637901889726
632,2.5142961511819353
637,2.509685952303421
642,2.5041432805914448
647,2.5015561474407226
652,2.501312210351559
657,2.4914292557711852
662,2.5008438349775624
667,2.491320564876436
672,2.4927680935959855
677,2.4877734972264527
682,2.4891632090896048
687,2.4872069114692916
692,2.4772490531707
697,2.4798928842181636
702,2.479746795919152
707,2.4685482917828483
712,2.474310516735516
717,2.469838760085488
722,2.463389942356895
727,2.4633727287281917
732,2.4681451223992927
737,2.462414119248831
742,2.456106887382432
747,2.455683175422191
752,2.4573499966831314
757,2.453096886599481
762,2.4512039372462398
767,2.4519818193962917
772,2.451247101926034
777,2.447434868084958
782,2.441775202477388
787,2.447572344179017
792,2.448618664648637
797,2.442900042939359
802,2.449056544490297
807,2.447531018472487
812,2.4464024510302487
817,2.4463910398669517
822,2.4437519087564383
827,2.4406165868007523
832,2.447071117919745
837,2.4389953011100225
842,2.444650149571854
847,2.4422133549559573
852,2.4446228106325556
857,2.4452556179112857
862,2.436829809132768
867,2.43975607456824
872,2.439431743888855
877,2.4398809627257037
882,2.4441502135153117
887,2.442057425753654
892,2.442841539865347
897,2.4443671278584613
902,2.4418281909560715
907,2.442394393632219
912,2.4460400146409653
917,2.4453861865359827
922,2.440501005260658
927,2.440724077163075
932,2.4470604368849687
937,2.441625798221822
942,2.446628307692685
947,2.4467432696360545
952,2.447659653550878
957,2.4457817333075176
962,2.4447718922625525
967,2.450025175747659
972,2.4424498582917487
977,2.445062308543657
982,2.4488217473284384
987,2.449289988381394
992,2.4534047368092438
997,2.451317597329652
1002,2.4503113537532983
1007,2.4519014131264805
1012,2.4520666303012555
1017,2.4495503375546472
1022,2.447754151062861
1027,2.4505788670517217
1032,2.4491722672418885
1037,2.4521166409926307
1042,2.452483115661408
1047,2.451204421486433
1052,2.460908344021312
1057,2.456633466946321
1062,2.451417875002088
1067,2.4536743314978775
1072,2.4528505870240456
1077,2.4555227357234406
1082,2.4589616783262223
1087,2.457331049274458
1092,2.459049043983321
1097,2.457343972456795
1102,2.4646832682573816
1107,2.457767342941166
1112,2.464338800028982
1117,2.4613266173584814
1122,2.460977948727039
1127,2.4629467083733716
1132,2.4597368367340926
1137,2.466066964586722
1142,2.4682461605349544
1147,2.4622043874469806
1152,2.464900678340014
1157,2.46428918623238
1162,2.4643503248974556
1167,2.4678566960827037
1172,2.4606161249368683
1177,2.460592886028692
1182,2.461908753491803
1187,2.464846732333249
1192,2.4674893687013664
1197,2.4599083282607257
1202,2.462358581597122
1207,2.4640504916527775
1212,2.458713351056842
